503 -1294
302303 276916
121223503 -59813856
12243573803 139485912192
-8582745235903 -2510746419456
2634902787422221 -3437211848235264
1056596017756310621 1739229195207043584
324374977451187360647 -57394563441832438272
32761872722569923425347 -165238948149035589785088
-26504355032559068051105723 -16854372711201630158078976
10628246368056186288493394923 -7803574565286354763190565888
2242559983659855306872106328753 8342021210291113241850714934272
-688465914983575579209736642927171 -75078190892620019176656434408448
69535057413341133500183400935644271 -133864414361541494191978422550262784
27883558022749794533573543775193352671 31725866203685334123498886144412279808
19546374173947605968035054186410540222371 -7138319895829200177787249382492762956800
1974183791568708202771540472827464562459471 -95517858526090527578971183987135661124940800
1383902837889664450142849871452052658284089171 573107151156543165473827103922813966749644800
554945037993755444507282798452273115971919757571 -581130651272734769790460683377733362284139827200
448950535736948154606391783947888950821283083874939 959446705251285104924050588256637781131114854707200
314714325551600656379080640547470154525719441796332239 -21107827515528272308329112941646031184884526803558400
31786146880711666294287144695294485607097663621429556139 -101338679902051235352288071232842595718630613183883878400
25714992826495738032078300058493238856142009869736510916451 20571752020116400776514478460267046930882014476328427315200
20803429196635052067951344747321030234618885984616837331408859 -12055046683788210855037484377716489501496860483128458406707200
2101146348860140258863085819479424053696507484446300570472294759 13501652285842796157641982503042468241676483741103873415512064000
-1472903590550958321463023159455076261641251746596856699901078626059 -324039654860227107783407580073019237800235609786492961972289536000
310782657606252205828697886645021091206304118531936763679127590098449 -466941142653587262315890322885220721670139513702336358202069221376000
186780377221357575703047429873657675814988775237693994971155681649167849 265689510169891152257741593721690590630309383296629387816977386962944000
188461400616349793884374856742520594897323674214833240925896082784010359641 -46495664279730951645104778901295853360304142076910142867971042718515200000
19034601462251329182321860530994580084629691095698157333515504361185046323741 -146879803459670076246885996549193600765200784820959141319920523947789516800000
17264383526261955568365927501612084136759129823798228701498562455594837015633087 9400307421418884879800703779148390448972850228541385044474913532658529075200000
12102332851909630853424515178630070979868150006482558319750492281371980747958793987 -10199333552239490094583763600376003637135542497967402773255281182934504046592000000
2553592231752932110072572702690944976752179651367819805467353871369487937819305531257 7465912160239306749235314955475234662383217108512138830022865825908056962105344000000
-538807960899868675225312840267789390094709906438609978953611666858961954879873467095227 -22397736480717920247705944866425703987149651325536416490068597477724170886316032000000
54419604050886736197756596867046728399565700550299607874314778352755157442867220176617927 -124486619359830200736749641567594062760577762067331402851801264781190941786144505856000000
38148142439671602074627374403799756608095556085760025119894659625281365367449921343809166827 37968418904748211224708640678116189141976217430536077869799385758263237244774074286080000000
26741847850209793054313789457063629382274984816117777609046156397322237122582394862010225945727 -11846146698281441902109095891572251012296579838327256295377408356578130020369511177256960000000
2700926632871189098485692735163426567609773466427895538513661796129545949380821881063032820518427 58413349369225790019299951841342769741634435182791700792506000606286759130442059615054069760000000
2449740456014168512326523310793227896822064534050101253431891249089498176088405446124170768210213289 817786891169161060270199325778798776382882092559083811095084008488014627826188834610756976640000000
752070319996349733284242656413520964324373811953381084803590613470475940059140471960120425840535479723 -901201154068415488417759657008236251573936066000110359826782577353792119864460095741054188257280000000
230885588238879368118262495518950936047582760269687993034702318335436113598156124891756970733044392274961 418157335487744786625840480851821620730306334624051206959627115892159543617109484423849143351377920000000
232963558533029282431326857978621494472011005112115184972014639200455038620539530015782783469641791805435649 -31361800161580858996938036063886621554772975096803840521972033691911965771283211331788685751353344000000000
23529319411835957525564012655840770941673111516323633682173478559245958900674492531594061130433820972349000549 -97378389501708567185492601978367959927570087675575924820723164613386653719834371185203869257952133120000000000
19035219404175289638181286238575183691813547216705819648878344154429980750645664458059595454520961166630341444141 13243460972232365137226993869058042550149531923878325775618350387420584905897474481187726219081490104320000000000
4016431294280986113656251396339363758972658462724927945913330616584725938386235200650574640903922806159002044713751 -2701666038335402487994306749287840680230504512471178458226143479033799320803084794162296148692623981281280000000000
847467003093288069981469044627605753143230935634959796587712760099377172999495627337271249230727712099549431434601461 3766122457439551068264063608507249908241323290384822770767244009773116253199500203062240831277517829906104320000000000
426275902555923899200678929447685693831045160624384777683619518329986718018746300550647438363056039186073364011604534883 64024081776472368160489081344623248440102495936541987103043148166142976304391503452058094131717803108403773440000000000
89944215439299942731343254113461681398350528891745188091243718367627197501955469416186609494604824268261479806448556860313 -156987048515910246729519227457016205175131320036400952376661799303382577898367966464446446810972053221806052474880000000000
63050895022949259854671621133536638660243720753113376851961846575706665448870784060746813255717981812051297344320438359079413 78022563112407392624571056046137053972040266058091273331200914253781141215488879332829884065053110451237608080015360000000000
37893587908792505172657644301255519834806476172621139488029069791999705934771341220508834766686507069042829703936583453806727213 -12093497282423145856808513687151243365666241239004147366336141709336076888400776296588632030083232119941829252402380800000000000
3827252378788043022438422074426807503315454093434735088290936048991970299411905463271392311435337213973325800097594928834479448513 -61652649145793197578009802777097038678166497836443143273581650434195319977067157560008846089364317347463445528747337318400000000000
3471317907560755021351648821505114405507116862745304725079878996435717061566598255187152826471850853073806500688518600452872859801291 1602968877790623137028254872204523005632328943747521725113122911289078319403746096560229998323472251034049583747430770278400000000000
1065694597621151791554956188202070122490684876862808550599522851905765137900945664342455917726858211893658595711375210339031967958996337 -1027503050663789430835111373083099246610322852942161425797511786136299202737801247895107428925345712912825783182103123748454400000000000
224861560098063028018095755710636795845534509018052604176499321752116444097099535176258198640367082709561963695100169381535745239348227107 537384095497161872326763248122460905977198852088750425692098664149284483031870052649141185327955807853407884604239933720441651200000000000
226885314138945595270258617512032527008144319599215077614087815647885492093973430992844522428130386453948021368356070905969566946502361150963 -5911225050468780595594395729347069965749187372976254682613085305642129313350570579140553038607513886387486730646639270924858163200000000000
22915416728033505122296120368715285227822576279520722839022869380436434701491316530277296765241169031848750158203963161502926261596738476247263 -63711183593952517259316397170902720090844741505938072969203833424210869739292449701976880650111784667484331982909478062028121282969600000000000
-20784282972326389145922581174424763701635076685525295614993742528055846274252624092961508166073740311886816393490994587483154119268241797956267541 -18093976140682514901645856796536372505799906587686412723253888692475887005959055715361434104631746845565550283146291769615986444363366400000000000
20971341519077326648235884404994586574949792375695023275528686210808348890720897709798161739568403974693797741032413538770502506341655974137873948869 -11019231469675651575102326789090650856032143111901025348461618213717815186629064930655113369720733828949420122436091687696135744617290137600000000000
2118105493426809991471824324904453244069929029945197350828397307291643237962810668689614335696408801444073571844273767415820753140507253387925268835769 18655558878160878116648239253930471899262418288448435914945519635824261110963006927599106934937202372411368267284303227269557815637072202956800000000000
849360302864150806580201554286685750872041541008024137682187320223948938423087078144535348614259929379073502309553780733744122009343408608558032803143369 223866706537930537399778871047165662791149019461381230979346235629891133331556083131189283219246428468936419207411638727234693787644866435481600000000000
340593481448524473438660823268960986099688657944217679210557115409803524307657918335958674794318231681008474426131066074231392925746706852031771154060490969 -468553016783888614777737177101717732221874897732670916439771671173362142062946881993579169777882774785483925401112559856102214097540705449462988800000000000
104562198804697013345668872743571022732604417988874827517641034430809681962450980929139313161855697126069601648822237284789037628204239003573753744296570727483 162587896824009349327874800454296053080990589513236808004600769897156663295842568051771971912925322850562922114186058270067468291846624790963657113600000000000
105503258593939286465779892598263161937197857750774700965299803740686969100113039757501566980312398400204228063661637420352138966858077154605917527995239864030347 -21461602380769234111279473659967079006690757815747258656607301626424679555051218982833900292506142616274305719072559691648905814523754472407202738995200000000000
10655829117987867933043769152424579355656983632828244797495280177809383879111417015507658265011552238420627034429825379455566035652665792615197670327519226267065047 -62002569278042317347486399403644891250329599329693830258938494398740899234542971641407137945050246018416469222400624949173688898159126670784408712957132800000000000
6404153299910708627759305260607172192749847163329775123294663386863439711345961626320102617271942895290796847692325053052795187427252141361733799866839054986506093247 3844159295238623675544156763025983257520435158441017476054186652721935752541664241767242552593115253141821091788838746848768711685865853588633340203342233600000000000
3221289109855086439762930546085407612953173123154876887017215683592310174807018698039011616487787276331270814389239501685555979275907827104952101333020044658212564903241 -2494859382609866765428157739203863134130762417828220341959167137616536303399540092906940416632931799289041888570956346704850893884126938979023037791969109606400000000000
325350200095363730416055985154626168908270485438642565588738784042823327655508888501940173265266514909458352253313189670241153906866690537600162234635024510479469055227341 1097738128348341376788389405249699779017535463844416950462033540551275973495797640879053783318489991687178430971220792550134393309015853150770136628466408226816000000000000
263208311877149257906589291990092570646790822719861835561289676290644072073306690798069600171600610561751806972930370443225093510655152644918531247819734828977890465678918869 21954762566966827535767788104993995580350709276888339009240670811025519469915952817581075666369799833743568619424415851002687866180317063015402732569328164536320000000000000
26584039499592075048565518490999349635325873094706045391690257305355051279403975770605029617331661666736932504265967414765734444576170417136771656029793217726766937033570805769 -54557584978912566426382953440910079017171512553067522437963066965398415882741142751688973030928952586852768019269673389741679347458087901593275790434780488872755200000000000000
-13371771868294813749428455800972672866568914166637140832020199424593590793540199812614329897517825818368677049645781609627164425621813719819796142982985988516563769327886115301807 -14457760019411830102991482661841170939550450826562893446060212745830580208926402829197577853196172435515983525106463448281545027076393293922218084465216829551280128000000000000000
4105133963566507821074535930898610570036656649157602235430201223350232373616841342472599278537972526239183854241254954155539478665896811984677415895776698474585077183661037397654749 -1619269122174124971535046058126211145229650492575044065958743827533024983399757116870128719557971312777790154811923906207533043032556048919288425460104284909743374336000000000000000
414618530320217289928528129020759667573702321564917825778450323558373469735300975589732527132335225150157569278366750369709487345255578010452419005473446545933092795549764777163129649 84992197684675471505931497498928570590813895054278912934042546019553415328686451550279316232158798265080649645768261989020994362692801895675610875549953706342610232147968000000000000000
418350097093099245537884882181946504581865642459002086210456376470398830962918684370040119876526242176508987401872051123036872731362878212546490776522707564846490630709712660157597815841 169984395369350943011862994997857141181627790108557825868085092039106830657372903100558632464317596530161299291536523978041988725385603791351221751099907412685220464295936000000000000000
